ID,Timestamp,Temperature,Humidity,Gas,MQ2
28227,2026-05-28 00:42:25.087593,13.8,69.0,928,143
28228,2026-05-28 00:52:25.960005,13.8,68.7,924,111
28229,2026-05-28 01:02:26.836049,13.6,69.4,923,109
28230,2026-05-28 01:12:27.666349,13.3,71.2,924,117
28231,2026-05-28 01:22:28.500854,13.1,71.2,924,119
28232,2026-05-28 01:32:29.380545,12.5,73.4,925,117
28233,2026-05-28 01:42:30.290437,12.4,74.4,925,118
28234,2026-05-28 01:52:31.029770,12.7,73.3,925,114
28235,2026-05-28 02:02:31.938984,12.6,74.3,923,115
28236,2026-05-28 02:12:32.829652,12.3,74.6,924,117
28237,2026-05-28 02:22:33.740458,12.1,76.3,924,119
28238,2026-05-28 02:32:34.647261,11.7,76.3,926,117
28239,2026-05-28 02:42:35.528152,11.5,77.8,925,119
28240,2026-05-28 02:52:36.375623,11.4,79.6,926,122
28241,2026-05-28 03:02:37.247767,11.5,76.7,926,120
28242,2026-05-28 03:12:38.130292,11.4,76.6,926,125
28243,2026-05-28 03:22:38.994548,10.7,79.5,926,120
28244,2026-05-28 03:32:39.844502,10.9,80.0,926,120
28245,2026-05-28 03:42:40.718856,10.9,81.2,927,120
28246,2026-05-28 03:52:41.432911,10.9,80.8,925,121
28247,2026-05-28 04:02:42.312499,10.6,82.2,926,118
28248,2026-05-28 04:12:43.183220,10.8,81.5,925,117
28249,2026-05-28 04:22:43.897297,10.7,81.9,926,118
28250,2026-05-28 04:32:44.772461,10.7,81.5,925,119
28251,2026-05-28 04:42:45.638118,10.6,82.0,925,121
28252,2026-05-28 04:52:46.512124,10.8,81.1,924,121
28253,2026-05-28 05:02:47.402865,10.4,83.1,926,121
28254,2026-05-28 05:12:48.272155,10.3,84.1,924,123
28255,2026-05-28 05:22:49.129883,10.5,83.2,925,122
28256,2026-05-28 05:32:50.016299,10.4,83.6,925,122
28257,2026-05-28 05:42:50.906796,11.2,81.2,926,122
28258,2026-05-28 05:52:51.777724,10.8,82.4,924,124
28259,2026-05-28 06:02:52.659415,10.9,83.1,923,125
28260,2026-05-28 06:12:53.543965,10.8,83.9,924,126
28261,2026-05-28 06:22:54.438206,11.2,83.6,925,123
28262,2026-05-28 06:32:55.314857,11.2,84.3,923,124
28263,2026-05-28 06:42:56.190439,11.9,82.0,924,123
28264,2026-05-28 06:52:57.071809,11.7,83.8,914,124
28265,2026-05-28 07:02:57.957241,11.9,84.0,916,125
28266,2026-05-28 07:12:58.673676,12.3,83.2,915,126
28267,2026-05-28 07:22:59.547075,12.8,82.2,914,127
28268,2026-05-28 07:33:00.253065,13.2,81.2,919,131
28269,2026-05-28 07:43:01.118445,13.4,81.4,920,133
28270,2026-05-28 07:53:01.980903,13.8,80.6,919,145
28271,2026-05-28 08:03:02.838696,14.1,79.9,919,129
28272,2026-05-28 08:13:03.706174,14.5,78.6,918,128
28273,2026-05-28 08:23:04.554381,14.4,79.0,917,129
28274,2026-05-28 08:33:05.405786,14.7,77.3,919,129
28275,2026-05-28 08:43:06.124563,14.9,76.4,919,128
28276,2026-05-28 08:53:06.998812,15.0,75.1,919,128
28277,2026-05-28 09:03:07.880059,15.3,74.4,918,129
28278,2026-05-28 09:13:08.752858,15.5,72.8,919,129
28279,2026-05-28 09:23:09.629375,15.9,70.0,918,131
28280,2026-05-28 09:33:10.506913,16.4,69.2,918,132
28281,2026-05-28 09:43:11.361465,16.6,67.3,918,133
28282,2026-05-28 09:53:12.220249,17.1,64.8,918,130
28283,2026-05-28 10:03:13.043981,18.1,64.0,900,142
